# incant! sites that run their scalar arm on one architecture (kernel, missing
# tier family). Generated by tools/review/incant_tiers.py --write; checked in CI
# by --check. Closing a gap = add the tier, then --write. Plan: Phase 5 item 1.
aom_satd_impl	neon
calc_indices_dim1	x86
cfl_luma_subsampling_420_hbd_impl	x86
cfl_predict_hbd_impl	x86
dr_z1_edged_flat	x86
dr_z1_edged_hbd_flat	x86
dr_z1_edged_small	x86
dr_z2_edged_flat	x86
dr_z2_edged_hbd_simd	x86
dr_z2_edged_small	x86
dr_z3_edged_flat	x86
dr_z3_edged_hbd_flat	x86
dr_z3_edged_small	x86
generate_block_hash_value	x86
predict_dc_hbd_impl	x86
predict_filter_intra_hbd_impl	x86
predict_paeth_hbd_impl	x86
predict_smooth_h_hbd_impl	x86
predict_smooth_hbd_impl	x86
predict_smooth_v_hbd_impl	x86
sum_abs_coeffs_wide_impl	neon
variance_about_128_impl	x86
variance_of_diff_impl	x86
warp_affine_impl	neon
